"","Column","lat","lng","label_place_of_publication","X20","city","country","language","dates_of_reprints","date","Column1","date.3","cartodb_id","translator_s","title","publisher","number_of_printings_and_or_editions","sales_figures_if_known","link_to_cover","link_to_sound_file_of_title","notes","source__w__worldcat__it__index_translationum","X_column","Column.23"
"24",302,52.2266103641713,6.18051197438183,"Deventer","Deventer","Deventer","Netherlands","Dutch","0",1874,"###############################################################################################################################################################################################################################################################","",302,"Unknown","Jane Eyre, de wees van Lowood, of Het leven eener gouvernante / Jane Eyre, the Orphan of Lowood, or The Life of a Governess","Ter Gunne","1",NA,"https://www.dropbox.com/s/0bmbvropjcw05s4/1874%20Unknown.png?dl=0","","","WorldCat",NA,""
"25",NA,50.0545881537836,14.4243865090175,"Prague","Prague","Prague","Czech Republic","Czech","0",1875,"###############################################################################################################################################################################################################################################################","",NA,"P. M. Chorušická","Jane Eyre, sirotek Lowoodský / Jane Eyre, The Lowood Orphan","Libuše","1",NA,"","","","",NA,""
"26",NA,38.7298872845497,-9.21693522248774,"Lisbon","Lisbon","Lisbon","Portugal","Portuguese","0",1877,"###############################################################################################################################################################################################################################################################","",NA,"Unknown","Joanna Eyre","Zoophilo ","1",NA,"","","Serialised between 1877 and 1882 in Zoophilo, a periodical. Incomplete. Authorship has been attributed to Francisca Wood (1802-1900) (see Claudia Pazos Alonso, Francisca Wood and Nineteenth-Century Periodical Culture: Pressing for Change (Oxford: Legenda, 2020), and Ana Teresa Marques dos Santos, 'Quem traduziu a primeira Jane Eyre portuguesa?', forthcoming","",NA,""
"27",326,51.393767630784,19.6051746450126,"Piotrków Trybunalski","Piotrków Trybunalski","Piotrków Trybunalski","Poland","Polish","2006",1880,"###############################################################################################################################################################################################################################################################","",326,"Emilia Dobrzańska ","Janina. Powieść z angielskiego / Jane. English Novel ","Tydzień (weekly)","2",NA,"https://goo.gl/voLU61 https://goo.gl/YTj7dK","https://goo.gl/wA8o5o","Abridged; published in instalments 1880-81. Source: Jagiellonian University card catalogue, with thanks to Dagmara Hadyna","Jagiellonian University card catalogue [with the help of: Dagmara Hadyna]",NA,""
"28",NA,56.8771420048965,8.79373684725401,"Erslev","Erslev","Erslev","Denmark","Danish","0",1884,"###############################################################################################################################################################################################################################################################","",NA,"Unknown","Jane Eyre, eller en Gouvernantes Memoirer / Jane Eyre, or a Governess's Memoir","","",NA,"","","First Erslev edition of the translation originally published in 1850 in Copenhagen","WorldCat",NA,""
"29",304,51.985403498463,4.75098705868276,"Gouda","Gouda","Gouda","Netherlands","Dutch","0",1885,"###############################################################################################################################################################################################################################################################","",304,"Unknown","Jane Eyre, of, De wees van Lowood: een verhaal / Jane Eyre, or, The orphan of Lowood: a Story","G.B. van Goor Zonen","1",NA,"https://www.dropbox.com/s/0bmbvropjcw05s4/1874%20Unknown.png?dl=0","","","WorldCat",NA,""
"30",119,51.401018309423,12.4517496901484,"Leipzig","Leipzig","Leipzig","Germany","German","2008, 2013",1887,"###############################################################################################################################################################################################################################################################","",119,"Maria/Marie von Borch","Jane Eyre, die Waise von Lowood, eine Autobiographie / Jane Eyre, the Orphan of Lowood, an Autobiograpy","Ph. Reclam","3",NA,"https://www.dropbox.com/preview/Prismatic%20jane%20Eyre/3%20HOMEWORK%202018-19/3%20Cover%20images/German/2008%20Engelmann.png?role=personal","","Publication 1887-90","",NA,""
"31",545,40.6958011868655,-73.9515671740424,"New York","New York","New York","USA","Spanish","1898, 1903",1889,"###############################################################################################################################################################################################################################################################","",544,"Leopoldo Terrero","Juana Eyre","D. Appleton y Compañía","3",NA,"","","Source: M. Ortega Sáez, Traducciones del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix","Odisea",NA,""
"32",126,53.3783798542233,13.381333085406,"Teschendorf","Teschendorf","Teschendorf","Germany","German","0",1892,"###############################################################################################################################################################################################################################################################","",126,"Unknown","Johanna Eyre, die Waise von Lowood / Jane Eyre, the Orphan of Lowood","Prochaska","1",NA,"","","","",NA,""
"33",375,59.9609939646452,30.2499659372327,"St Petersburg","St Petersburg","St Petersburg","Russia","Russian","0",1893,"###############################################################################################################################################################################################################################################################","",375,"V. D. Vladimirov (alias of Vladimir Dmitrievich Vol'fson)","Дженни Эйръ: Ловудская сирота. Романъ-автобиография в двухъ частяхъ / Dzhenni Ėĭr”, Lovudskaia sirota. Roman”-avtobiografiia v dvukh” chastiakh” / Jane Eyre, the Orphan of Lowood. Novel-Autobiography in two parts","Lederle i Ko","1",NA,"","","","",NA,""
"34",73,55.5166238341597,11.4580455945677,"Sorø","Sorø","Slagelse","Denmark","Danish","0",1894,"###############################################################################################################################################################################################################################################################","",74,"Vilhelm Møller","Jane Eyre","Sorø Amtstidende ","1",NA,"","","","http://bibliografi.dk/content.php?page=author&value=13323",NA,""
"35",13,48.2840344250278,16.2841211293013,"Vienna","Vienna","Vienna","Austria","German","0",1894,"###############################################################################################################################################################################################################################################################","",13,"Unknown","Jane Eyre oder die Waise aus Lowood / Jane Eyre or the Orphan of Lowood","A. Hartleben","1",NA,"","","","",NA,""
"36",NA,50.1383290272787,14.4177726102746,"Prague","Prague","Prague","Czech Republic","Czech","1897?, c. 1910, 1929",1895,"","",NA,"V. K. ","Sirotek lovoodský (Johanna Eyrová) / Orphan of Lowood (Joanna Eyre)","Alois Hynek","",NA,"","","Date is 1895 or 1896. Source: Jay Dillon Rare Books + Manuscripts","",NA,""
"37",257,35.7144825754016,139.79735045534,"Tokyo","Tokyo","Tokyo","Japan","Japanese","0",1896,"###############################################################################################################################################################################################################################################################","",256,"Futo Mizutani","理想佳人 / Riso Kajin / An Ideal Lady","Hakubunkan","1",NA,"","","Abridged; abandoned after 14 chapters","",NA,""
"38",NA,55.6602898193441,12.4821395413597,"Copenhagen","Copenhagen","Copenhagen","Denmark","Danish","1905, 1909, 1911, 1913, 1914, 1944",1897,"###############################################################################################################################################################################################################################################################","",NA,"Sofie Horten","Et Vajsenhusbarn eller Jane Eyre. En Gouvernantes Memoirer / An Orphan or Jane Eyre. A Governess's Memoir","R. Stjernholm (Roman-Bazar) ","7",NA,"","","The 1905 edition is with Vort Lands Feuilletori; 1909 is with Østjydsk Forlagsforretning and is titled Et Vaisenhusbarn: (Jane Eyre); 1911 is with Frederiksbergs Biblioteks Forlag and may be abridged (96pp); 1913 is with Romanforlaget; 1914 is with Danmark; 1944 is with Det Danske forlag","http://bibliografi.dk/content.php?page=author&value=13323",NA,""
"39",374,60.0001172982632,30.3415452946742,"St Petersburg","St Petersburg","St Petersburg","Russia","Russian","0",1901,"01/01/1901 00:00","",374,"Unknown","Джени Эйръ. Исторiя моей жизни / Dzheni Ėĭr''. Istoriia moeĭ zhizni / Jane Eyre: The Story of my Life ","IUnyĭ chitatel': zhurnal” dlia dieteĭ starshago vozrasta","1",NA,"","","Abridged for a juvenile audience","",NA,""
"40",125,48.84889855556,9.08651193553981,"Stuttgart","Stuttgart","Stuttgart","Germany","German","0",1904,"01/01/1904 00:00","",125,"G.A. Volchert","Jane Eyre, Die Waise von Lowood / Jane Eyre, the Orphan of Lowood","Franckhsche Verlh","1",NA,"","","","",NA,""
"41",115,51.5063353796653,11.9633126921212,"Halle a. d. Saale","Halle","Halle","Germany","German","0",1904,"01/01/1904 00:00","",116,"Unknown","Jane Eyre, die Waise von Lowood / Jane Eyre, the Orphan of Lowood","O. Hendel","1",NA,"","","","",NA,""
"42",219,45.432096165571,9.25045451886884,"Milan","Milan","Milan","Italy","Italian","0",1904,"01/01/1904 00:00","",218,"Unknown","Jane Eyre, o Le memorie d'un istitutrice / Jane Eyre or the Memoirs of a Governess ","Fratelli Treves","2",NA,"","","Jay Dillon notes that there are three printings of this edition in 1904. ","Second printing noted by Paola Gaudio referencing CUBI ",NA,""
"43",111,52.5306519519674,13.4718653697323,"Berlin","Berlin","Berlin","Germany","German","1906",1905,"01/01/1905 00:00","",112,"Gertrude Reichard","Die Waise von Lowood / The Orphan of Lowood","Jugendhort","1",NA,"","","1906 edition is with Globus and is titled Jane Eyre, die Waise von Lowood","",NA,""
"44",NA,50.1490919911418,14.4869990966967,"Prague","Prague","Prague","Czech Republic","Czech","",1907,"","",NA,"Karel Funk","Sirotek lovoodský (Johanna Eyrová) / Orphan of Lowood (Joanna Eyre)","B. Kočí","",NA,"","","Probably abridged","",NA,""
"45",12,40.2075419987252,44.4193297705003,"K. Polis","Erevan","Erevan","Armenia","Armenian","0",1908,"01/01/1908 00:00","",12,"Marinos H Stampōlluean","Chēyn Ēyr","Tpagrutʻiwn H. Mattʻēosean","1",NA,"","","","WorldCat",NA,""
"46",NA,55.5966928023297,12.5361813134161,"Copenhagen","Copenhagen","Copenhagen","Denmark","Danish","0",1909,"01/01/1909 00:00","",NA,"Unknown","Jane Eyre","Chr. Flor","1",NA,"","","","http://bibliografi.dk/content.php?page=author&value=13323",NA,""
"47",108,52.4968924647799,13.5016374988284,"Berlin","Berlin","Berlin","Germany","German","0",1911,"01/01/1911 00:00","",109,"Ilka von Hartung","Die Waise von Lowood / The Orphan of Lowood","Weichert","1",NA,"","","","",NA,""
"48",321,59.8140639490723,10.6772719238999,"Oslo","Oslo","Oslo","Norway","Norwegian","0",1911,"01/01/1911 00:00","",320,"Unknown","Jane Eyre eller en Gouvernantes Memoirer. Efter det Engelske. 1.-3. Del. Roman / Jane Eyre, or, a Governess's Memoir. Translated from English, parts 1-3, novel ","Kristiania","1",NA,"","","","",NA,""
"49",NA,55.6721678512088,12.6532405147907,"Copenhagen","Copenhagen","Copenhagen","Denmark","Danish","0",1913,"01/01/1913 00:00","",NA,"Emma Sunde","Et Vajsenhusbarn / An Orphan","Forlaget Danmark","1",NA,"","","","http://bibliografi.dk/content.php?page=author&value=13323",NA,""
"50",NA,22.614605250915,88.3338429129293,"Kolkata","Kolkata","Kolkata","India","Bengali","0",1914,"01/01/1914 00:00","",NA,"Nirmmalā Bālā Soma","Saralā","Nirmmalā Bālā Soma","",NA,"","","","",NA,""
"51",299,52.3419462871451,4.98491784392255,"Amsterdam","Amsterdam","Amsterdam","Netherlands","Dutch","0",1914,"01/01/1914 00:00","",299,"J Kuylman and Leo Simons","Jane Eyre (de wees van Lowood) / Jane Eyre (the Orphan of Lowood)","Amsterdam Mij voor Goede en Goedkoope Lectuur ","1",NA,"","","","WorldCat",NA,""
"52",88,60.4696868794238,25.7557101974213,"Porvoo","Porvoo","Porvoo","Finland","Finnish","1919, 1939, 1945, 1947, `950, 1954, 1963, 1965, 1968, 1972, 1980, 1986, 1991, 2016",1915,"01/01/1915 00:00","",87,"Tyyni Haapanen (Tyyni Tuulio)","Kotiopettajattaren romaani / The Novel of a Governess","WSOY","1",NA,"https://www.dropbox.com/s/bmoatomlvq8czgb/1968%20Haapanen.jpg?dl=0; https://www.dropbox.com/s/jvzccevc167p2m1/1986%20Haapanen.jpg?dl=0; ","","","National Library of Finland: https://kansalliskirjasto.finna.fi.",NA,""
"53",NA,-22.5304149142394,-43.1828166163606,"Petrópolis","Petrópolis","Petrópolis","Brazil ","Portuguese","1926, 1953",1916,"01/01/1916 00:00","",NA,"Unknown","Joanna Eyre","Vozes de Petrópolis","3",NA,"","","Date is approximate","",NA,""
"54",159,47.5348455514645,19.0030760098097,"Budapest","Budapest","Budapest","Hungary","Hungarian","0",1918,"01/01/1918 00:00","",159,"Karinthy Frigyes","A lowoodi árva / The Orphan of Lowood ","Kultúra Kvk","1",NA,"","","","WorldCat",NA,""
"55",96,48.8700426742226,2.23559816350584,"Paris","Paris","Paris","France","French","1954, 1990",1919,"01/01/1919 00:00","",93,"Marion Gilbert and Madeleine Duvivier","Jane Eyre","Ernest Flammarion","3",NA,"","","Still in print in Flammarion (1990)","",NA,""
"56",324,50.2120606398365,19.3956460973507,"Chrzanów","Chrzanów","Chrzanów","Poland","Polish","1922",1921,"01/01/1921 00:00","",324,"Zofia Sawicka","Sierota z Lowood. Powieść z angielskiego z kolorowanemi obrazkami / The Orphan of Lowood. An English Novel with colour pictures ","Ksiegarnia i Drukarnia Związkowa w Chrzanowie","2",NA,"https://goo.gl/GHhnnv","https://goo.gl/pfM6pS","Abridged; version for children with illustrations. Source: Wojewódzka Biblioteka w Łodzi imienia Józefa Piłduskiego [Jozef Pilsudski Regional and Municipal Public Library in Lodz]","Wojewódzka Biblioteka w Łodzi imienia Józefa Piłduskiego [Jozef Pilsudski Regional and Municipal Public Library in Lodz]",NA,""
"57",NA,31.1241514299704,121.577261231875,"Shanghai","Shanghai","Shanghai","China","Chinese","0",1925,"01/01/1925 00:00","01/01/1925",NA,"Xiaomei Xu (许小美)","重光记 / Chong guang ji / Seeing Light Again","Dadong Press",NA,NA,"","","Later republished in Tainan, Taiwan (1972)","",NA,""
"58",220,45.4371066590432,9.27366870727322,"Milan","Milan","Milan","Italy","Italian","1941",1925,"01/01/1925 00:00","",219,"Elvira Rosa","Jane Eyre: romanzo / Jane Eyre:  a novel","Sonzogno","2",NA,"","","","Gaudio",NA,""
"59",120,51.3527983162247,12.3761140153663,"Leipzig","Leipzig","Leipzig","Germany","German","0",1927,"01/01/1927 00:00","",120,"Bertha Tucholsky","Jane Eyre","Hesse und Becker Verlag","1",NA,"","","","",NA,""
"60",422,41.405020101956,2.22460785143379,"Barcelona","Barcelona","Barcelona","Spain","Spanish","1945, 1958, 1976, 1996, 1998, 2003 ",1928,"01/01/1928 00:00","",425,"José Fernández Z","Juana Eyre","Juventud","4",NA,"https://www.dropbox.com/s/u3dnppqsrnapa5y/1998_Fern%C3%A1ndez.jpg?dl=0","","José Fernández Z is José Zendrera Flecha (1894-1969), owner and founder of the publisher Juventud. It is likely that Flecha was not himself the translator, and that he was registering the books under his name. Source: Source: M. Ortega Sáez, Traducciones del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, appendix","OT (2013)",NA,"Dropbox image is 1996 printing"
"61",432,41.4625929271624,2.24903741253842,"Barcelona","Barcelona","Barcelona","Spain","Spanish","0",1928,"01/01/1928 00:00","",435,"Unknown","Juana Eyre","Mentora","1",NA,"","","","Odisea",NA,""
"62",251,35.6100072510335,139.657166114994,"Tokyo","Tokyo","Tokyo","Japan","Japanese","1957, 2003",1930,"01/01/1930 00:00","",253,"Hisako Endo","ヂエイン・エア / Jane Eyre","Kaizosha","3",NA,"","","","",NA,""
"63",327,52.409672482579,17.0164213691338,"Poznań","Poznań","Poznań","Poland","Polish","1959, 1971, 1974, 1976, 1991, 1993, 1996, 1997, 1998, 2008, 2009",1930,"01/01/1930 00:00","",327,"Teresa Świderska","Dziwne losy Jane Eyre / The Strange Fate of Jane Eyre ","Księgarnia św. Wojciecha","12",NA,"https://goo.gl/om49Fmhttps://goo.gl/J953dXhttps://goo.gl/JoN2Cvhttps://goo.gl/wkCmpL","https://goo.gl/2Ndt3Qhttps://goo.gl/nXid9D","Canonical version, much reprinted","Biblioteka Narodowa [The National Library of Poland]",NA,""
"64",347,44.3488342278784,26.0778969632227,"Bucharest","Bucharest","Bucharest","Romania","Romanian","0",1930,"01/01/1930 00:00","",347,"Unknown","Singură pe lume : Jane Eyre : roman / The Only One in the World ","Editura ziarului ""Universul""","1",NA,"","","","WorldCat",NA,""
"65",316,52.0953464075513,6.15632763988816,"Zutphen","Zutphen","Zutphen","Netherlands","Esperanto","0",1931,"01/01/1931 00:00","",316,"Hendrik Jan Bulthuis","Jane Eyre","W.J. Thieme","1",NA,"https://www.dropbox.com/s/j7vxlzvmdxin55k/1931%20Bulthuis.jpg?dl=0","","","COPAC",NA,""
"66",253,35.7636532044764,139.849012251836,"Tokyo","Tokyo","Tokyo","Japan","Japanese","1952",1931,"01/01/1931 00:00","",250,"Gisaburo Jyuichiya","ジエイン・エア / Jane Eyre","Shinchosha","2",NA,"","","","",NA,""
